,@flowId,@jitterSum,@txBytes,@rxBytes,@txPackets,@rxPackets,@lostPackets
0,1,+0ns,224,0,4,0,3
1,2,+0ns,224,0,4,0,3
2,3,+0ns,224,0,4,0,3
3,4,+0ns,224,0,4,0,3
4,5,+0ns,224,0,4,0,3
5,6,+0ns,224,0,4,0,3
6,7,+0ns,224,0,4,0,3
7,8,+0ns,224,0,4,0,3
8,9,+0ns,224,0,4,0,3
9,10,+0ns,224,0,4,0,3
10,11,+0ns,224,0,4,0,3
11,12,+0ns,224,0,4,0,3
12,13,+0ns,224,0,4,0,3
13,14,+0ns,224,0,4,0,3
14,15,+0ns,224,0,4,0,3
15,16,+0ns,224,0,4,0,3
16,17,+0ns,224,0,4,0,3
17,18,+0ns,224,0,4,0,3
18,19,+0ns,224,0,4,0,3
19,20,+0ns,224,0,4,0,3
20,21,+2.71435e+10ns,200701764,200666712,131696,131673,0
21,22,+0ns,224,0,4,0,3
22,23,+0ns,224,0,4,0,3
23,24,+0ns,224,0,4,0,3
24,25,+0ns,224,0,4,0,3
25,26,+5.12397e+10ns,3423528,3423424,65837,65835,0
